"Latest: Time (s)","Latest: Temperature (°C)"
0,0.146599998006
0.5,0.148587977143
1,0.144611921542
1.5,0.148587977143
2,0.146599998006
2.5,0.148587977143
3,0.146599998006
3.5,0.148587977143
4,0.148587977143
4.5,0.148587977143
5,0.146599998006
5.5,0.146599998006
6,0.146599998006
6.5,0.146599998006
7,0.144611921542
7.5,0.148587977143
8,0.148587977143
8.5,0.142623747735
9,0.148587977143
9.5,0.146599998006
10,0.146599998006
10.5,0.146599998006
11,0.15057585897
11.5,0.146599998006
12,0.142623747735
12.5,0.146599998006
13,0.146599998006
13.5,0.146599998006
14,0.146599998006
14.5,0.146599998006
15,0.146599998006
15.5,0.144611921542
16,0.146599998006
16.5,0.15057585897
17,0.146599998006
17.5,0.144611921542
18,0.136658642088
18.5,0.138647108025
19,0.144611921542
19.5,0.178395996389
20,0.255794783298
20.5,0.31523247415
21,0.366675295902
21.5,0.402251725347
22,0.445692150527
22.5,0.491058063188
23,0.563933231941
23.5,0.632750905217
24,0.687722704006
24.5,0.752417441996
25,0.834610809316
25.5,0.924446549167
26,1.01798293036
26.5,1.17147621252
27,1.32441359528
27.5,1.4787278701
28,1.63248703227
28.5,1.73596435673
29,1.84874022299
29.5,1.94408396937
30,2.05442189428
30.5,2.14173376312
31,2.22697984964
31.5,2.31772758292
32,2.4101742137
32.5,2.50054788718
33,2.59824632116
33.5,2.67887453755
34,2.77431604485
34.5,2.8788823385
35,2.97576381882
35.5,3.06686742143
36,3.15222806243
36.5,3.2392803965
37,3.33355538699
37.5,3.40920571145
38,3.49577512255
38.5,3.60421978062
39,3.70142198034
39.5,3.78562320726
40,3.85506735773
40.5,3.94081788062
41,4.01731503072
41.5,4.07733377013
42,4.15905608132
42.5,4.22795758984
43,4.29856970656
43.5,4.36365843098
44,4.42865964454
44.5,4.5061859847
45,4.56379993288
45.5,4.62853442489
46,4.70933234962
46.5,4.76133176746
47,4.82938595353
47.5,4.88662210992
48,4.96342923976
48.5,5.0187282843
49,5.08108905871
49.5,5.15581948319
50,5.21090632771
50.5,5.2677069724
51,5.33507479239
51.5,5.40235306083
52,5.45363708113
52.5,5.52428901445
53,5.57721388916
53.5,5.64417366045
54,5.69873416751
54.5,5.76904957329
55,5.83751513562
55.5,5.89187207928
56,5.96542650324
56.5,6.02314663419
57,6.09651673591
57.5,6.15234907285
58,6.22902211829
58.5,6.30210651073
59,6.36119646871
59.5,6.42889551586
60,6.50690342028
60.5,6.56057628439
61,6.63320909806
61.5,6.69711432198
62,6.764392417
62.5,6.76094428446
63,6.09302524632
63.5,5.25706172712
64,4.4881676375
64.5,3.80207975015
65,3.24483133029
65.5,2.83409784378
66,2.47232583145
66.5,2.19858283933
67,1.96883915758
67.5,1.79143328288
68,1.64016055075
68.5,1.4941286444
69,1.401640585
69.5,1.30315155686
70,1.22380810955
70.5,1.16759719626
71,1.0996566126
71.5,1.05689494846
72,1.01408974482
72.5,0.97318946803
73,0.940050459318
73.5,0.924446549167
74,0.902981662247
74.5,0.889316446779
75,0.842430294225
75.5,0.805274665042
76,0.74654026674
76.5,0.701454262869
77,0.681836357385
77.5,0.668098295552
78,0.65239207112
78.5,0.644536723567
79,0.624891826824
79.5,0.622926823811
80,0.61703125432
80.5,0.611134843819
81,0.609169186687
81.5,0.609169186687
82,0.603271654174
82.5,0.605237591881
83,0.603271654174
83.5,0.603271654174
84,0.603271654174
84.5,0.611134843819
85,0.61506587762
85.5,0.618996537574
86,0.620961727399
86.5,0.628821552721
87,0.634715441479
87.5,0.646500700251
88,0.64257265366
88.5,0.65239207112
89,0.654355675069
89.5,0.660245928111
90,0.662209159577
90.5,0.673986594224
91,0.650428374012
91.5,0.607203436047
92,0.591474062685
92.5,0.561965326197
93,0.556061045551
93.5,0.575738695577
94,0.638644234111
94.5,0.701454262869
95,0.801361617364
95.5,0.89517351501
96,0.928348072361
96.5,0.916642410731
97,0.875646759047
97.5,0.818967436734
98,0.781790858424
98.5,0.732823622916
99,0.695569865979
99.5,0.673986594224
100,0.65239207112
100.5,0.628821552721
101,0.599339498074
101.5,0.589507469747
102,0.581640161153
102.5,0.561965326197
103,0.556061045551
103.5,0.548187356127
104,0.540312162648
104.5,0.530466054157
105,0.524557259417
105.5,0.508796327651
106,0.512737126217
106.5,0.508796327651
107,0.500913598497
107.5,0.496971667652
108,0.496971667652
108.5,0.493029359124
109,0.493029359124
109.5,0.491058063188
110,0.495000560607
110.5,0.493029359124
111,0.489086672783
111.5,0.489086672783
112,0.493029359124
112.5,0.495000560607
113,0.491058063188
113.5,0.491058063188
114,0.491058063188
114.5,0.493029359124
115,0.495000560607
115.5,0.498942680277
116,0.498942680277
116.5,0.500913598497
117,0.500913598497
117.5,0.506825786889
118,0.506825786889
118.5,0.510766774088
119,0.510766774088
119.5,0.510766774088
120,0.522587472801
120.5,0.518647616915
121,0.530466054157
121.5,0.526526951838
122,0.534404779884
122.5,0.534404779884
123,0.536374001566
123.5,0.540312162648
124,0.542281102079
124.5,0.548187356127
125,0.548187356127
125.5,0.552124388782
126,0.554092764144
126.5,0.556061045551
127,0.556061045551
127.5,0.559997326561
128,0.561965326197
128.5,0.559997326561
129,0.565901043809
129.5,0.571803916321
130,0.573771352847
130.5,0.575738695577
131,0.577705944528
131.5,0.583607128859
132,0.58557400285
132.5,0.583607128859
133,0.58754078314
133.5,0.58754078314
134,0.58754078314
134.5,0.589507469747
135,0.591474062685
135.5,0.593440561971
136,0.59540696762
136.5,0.599339498074
137,0.601305622911
137.5,0.603271654174
138,0.609169186687
138.5,0.613100407458
139,0.618996537574
139.5,0.620961727399
140,0.620961727399
140.5,0.620961727399
141,0.630786275636
141.5,0.634715441479
142,0.636679884439
142.5,0.638644234111
143,0.640608490513
143.5,0.646500700251
144,0.648464583727
144.5,0.648464583727
145,0.628821552721
145.5,0.579673099714
146,0.495000560607
146.5,0.437797310723
147,0.388420117564
147.5,0.344918919819
148,0.3290888311
148.5,0.311272652015
149,0.307312446081
149.5,0.309292597031
150,0.31523247415
150.5,0.323150967547
151,0.317212241333
151.5,0.327109639073
152,0.333046927764
152.5,0.337004641351
153,0.342940493749
153.5,0.344918919819
154,0.358765224436
154.5,0.376560736809
155,0.418053565564
155.5,0.461477278822
156,0.508796327651
156.5,0.532435464086
157,0.508796327651
157.5,0.475284293458
158,0.451612284497
158.5,0.435823363549
159,0.420028367616
159.5,0.406202756262
160,0.398300313641
160.5,0.392372481816
161,0.394348521015
161.5,0.394348521015
162,0.384467372066
162.5,0.378537538696
163,0.372606846789
163.5,0.362720451217
164,0.352831667551
164.5,0.344918919819
165,0.340961971992
165.5,0.333046927764
166,0.337004641351
166.5,0.337004641351
167,0.331067927324
167.5,0.3290888311
168,0.3290888311
168.5,0.331067927324
169,0.3290888311
169.5,0.333046927764
170,0.3290888311
170.5,0.337004641351
171,0.335025832434
171.5,0.337004641351
172,0.337004641351
172.5,0.338983354532
173,0.338983354532
173.5,0.338983354532
174,0.390396347337
174.5,0.479228303157
175,0.624891826824
175.5,0.744581023533
176,0.846339486769
176.5,0.953699109697
177,1.06272864468
177.5,1.1578980961
178,1.24123769651
178.5,1.34180189663
179,1.43827440774
179.5,1.53260634289
180,1.62097418659
228,25.8162546227
228.5,25.8249494752
229,25.8466866141
229.5,25.8684237714
230,25.8887118099
230.5,25.9118981792
231,25.9785593272
231.5,25.9843559784
232,26.0046443029
232.5,26.011890151
233,26.0263818776
233.5,26.0336277568
234,26.0524670954
234.5,26.0539162786
235,26.0582638309
235.5,26.0655097614
236,26.0684081371
236.5,26.0727557045
237,26.0756540853
237.5,26.0727557045
238,26.0756540853
238.5,26.0756540853
239,26.0698573257
239.5,26.0640605743
240,26.0597130161
240.5,26.0539162786
241,26.0495687305
241.5,26.035076934
242,26.0220343553
242.5,26.0104409806
243,26.0017459664
243.5,25.9858051421
244,25.9742118422
244.5,25.9220422318
245,25.8887118099
245.5,25.8785677871
246,25.864076338
246.5,25.845237471
247,25.829296902
247.5,25.8206020488
248,25.8104580549
248.5,25.7988649197
249,25.7843734996
249.5,25.7655346473
250,25.7524923579
250.5,25.7394500605
251,25.7293060445
251.5,25.7162637277
252,25.7046705457
252.5,25.6916282012
253,25.6800349914
253.5,25.6626451475
254,25.6423569461
254.5,25.6336619844
255,25.6148228592
255.5,25.6133736932
256,25.6017803521
256.5,25.5858394668
257,25.5670001726
257.5,25.5525083555
258,25.5438132421
258.5,25.5351181106
259,25.522075378
259.5,25.5148293965
260,25.4988881875
260.5,25.4930913667
261,25.4800484845
261.5,25.4713532016
262,25.459759455
262.5,25.4554117891
263,25.4525133418
263.5,25.4525133418
264,25.4510641171
264.5,25.4409195252
265,25.4322241333
265.5,25.4293256636
266,25.4235287155
266.5,25.4119347838
267,25.4017900538
267.5,25.3901960299
268,25.382949739
268.5,25.3728048975
269,25.3626600151
269.5,25.3554136449
270,25.3423701237
270.5,25.3365729801
271,25.3336744029
271.5,25.3220800573
272,25.3119349559
272.5,25.2988911855
273,25.2858473359
273.5,25.2684554096
274,25.2597593908
274.5,25.2481646399
275,25.2452659415
275.5,25.2409178857
276,25.2264242952
276.5,25.2090318386
277,25.2003355484
277.5,25.1930886078
278,25.1814934411
278.5,25.1756958288
279,25.1698981972
279.5,25.1539546081
280,25.1525051834
280.5,25.1409097403
281,25.132213104
281.5,25.1249658714
282,25.1148196903
282.5,25.1003250321
283,25.0901786904
283.5,25.0843807505
284,25.082931262
284.5,25.0727848035
285,25.0626382755
285.5,25.0597392546
286,25.0510421572
286.5,25.0423450073
287,25.0264000938
287.5,25.0177027917
288,25.01335412
288.5,25.0061063033
289,24.9959592947
289.5,24.9901609697
290,24.9901609697
290.5,24.9829130279
291,24.9713162381
291.5,24.9684170245
292,24.9655178045
292.5,24.9582697259
293,24.9481223468
293.5,24.9437734452
294,24.9394245286
294.5,24.9292769977
295,24.9205790478
295.5,24.9118810363
296,24.9075320072
296.5,24.8988339019
297,24.8973842116
297.5,24.89303513
298,24.8886860325
298.5,24.8828872109
299,24.878538076
299.5,24.8770883608
300,24.8741889249
300.5,24.8741889249
301,24.8698397576
301.5,24.8611413738
302,24.858241898
302.5,24.8495434263
303,24.8437444081
303.5,24.8364955934
304,24.8335960544
304.5,24.8292467318
305,24.8248973921
305.5,24.8176484546
306,24.8118492701
306.5,24.8074998615
307,24.8031504355
307.5,24.794451531
308,24.7886522221
308.5,24.7857525558
