"Latest: Time (s)","Latest: Temperature (°C)"
0,5.86207047675
0.5,5.36695457637
1,4.94914853524
1.5,4.58179034139
2,4.26599237209
2.5,4.00093314694
3,3.76733141306
3.5,3.50313528673
4,3.31877989715
4.5,3.16335032903
5,3.0204087587
5.5,2.89007154059
6,2.77992395476
6.5,2.66950660959
7,2.58510704768
7.5,2.51371206391
8,2.42713327705
8.5,2.36680491636
9,2.29505812939
9.5,2.24211743964
10,2.18343027231
10.5,2.14931789078
11,2.10758896022
11.5,2.06392074954
12,2.03541799304
12.5,1.99167762979
13,1.9612236744
13.5,1.9288430111
14,1.9155027932
14.5,1.89071724183
15,1.86782571737
15.5,1.83728489514
16,1.81818595373
16.5,1.79525610515
17,1.78952174512
17.5,1.77996278956
18,1.7531864694
18.5,1.73596435673
19,1.72447913174
19.5,1.70533029577
20,1.69575268925
20.5,1.68808907193
21,1.67850763366
21.5,1.67084094866
22,1.67084094866
22.5,1.66700709439
23,1.65933836172
23.5,1.6497505245
24,1.64207871651
24.5,1.63632396263
25,1.63440554024
25.5,1.6228932083
26,1.62097418659
26.5,1.60753863492
27,1.59985929011
27.5,1.59409888033
28,1.58833769769
28.5,1.58257574181
29,1.58257574181
29.5,1.58257574181
30,1.58065491795
30.5,1.57681301229
31,1.57104950876
31.5,1.57297076263
32,1.56912816884
32.5,1.57104950876
33,1.56720674287
33.5,1.56144194844
34,1.56144194844
34.5,1.55759832161
35,1.55375435019
35.5,1.55183223522
36,1.54798774672
36.5,1.54798774672
37,1.54606537315
37.5,1.54606537315
38,1.54414291335
38.5,1.54798774672
39,1.540297735
39.5,1.5422203673
40,1.54414291335
40.5,1.540297735
41,1.5422203673
41.5,1.54414291335
42,1.53837501642
42.5,1.540297735
43,1.53645221155
43.5,1.53260634289
44,1.53260634289
44.5,1.53260634289
45,1.53068327907
45.5,1.5287601289
46,1.53452932038
46.5,1.53452932038
47,1.52491356948
47.5,1.53452932038
48,1.53260634289
48.5,1.52491356948
49,1.40935558484
49.5,1.27414069218
50,1.15013721091
50.5,1.03355206332
51,0.932249231702
51.5,0.83656581806
52,0.758293786032
52.5,0.685760681363
53,0.620961727399
53.5,0.565901043809
54,0.504855151787
54.5,0.46542261346
55,0.439771162991
55.5,0.41410367624
56,0.384467372066
56.5,0.348875484961
57,0.321171488016
57.5,0.305332199148
58,0.287505654819
58.5,0.263724812408
59,0.247863211605
59.5,0.241913519879
60,0.224059230439
60.5,0.216121477819
61,0.212152021118
61.5,0.210167147612
62,0.202226685493
62.5,0.20421194627
63,0.196270321941
63.5,0.188327147064
64,0.188327147064
64.5,0.186341110948
65,0.184354977838
65.5,0.184354977838
66,0.178395996389
66.5,0.180382420576
67,0.178395996389
67.5,0.176409475143
68,0.174422856821
68.5,0.168462419235
69,0.166475412443
69.5,0.168462419235
70,0.166475412443
70.5,0.172436141407
71,0.164488308492
71.5,0.170449328884
72,0.170449328884
72.5,0.180382420576
73,0.178395996389
73.5,0.180382420576
74,0.178395996389
74.5,0.186341110948
75,0.190313086206
75.5,0.198255873345
76,0.202226685493
76.5,0.20421194627
77,0.212152021118
77.5,0.218106061047
78,0.224059230439
78.5,0.233979246119
79,0.239930096271
79.5,0.241913519879
80,0.249846249203
80.5,0.25975999061
81,0.265707078781
81.5,0.267689248826
82,0.283543143326
82.5,0.291467781722
83,0.301371417269
83.5,0.301371417269
84,0.307312446081
84.5,0.307312446081
85,0.313252611049
85.5,0.31523247415
86,0.323150967547
86.5,0.331067927324
87,0.338983354532
87.5,0.348875484961
88,0.352831667551
88.5,0.362720451217
89,0.370629758624
89.5,0.382490856309
90,0.394348521015
90.5,0.398300313641
91,0.406202756262
91.5,0.410153406516
92,0.420028367616
92.5,0.423977686583
93,0.431875184419
93.5,0.429900952432
94,0.439771162991
94.5,0.443718582877
95,0.453585472882
95.5,0.457531565339
96,0.459504469444
96.5,0.463449993489
97,0.471339905366
97.5,0.477256345599
98,0.483171934592
98.5,0.485143608501
99,0.491058063188
99.5,0.496971667652
100,0.502884422328
100.5,0.483171934592
101,0.457531565339
101.5,0.459504469444
102,0.493029359124
102.5,0.583607128859
103,0.681836357385
103.5,1.22961876935
104,2.41394345423
104.5,3.88245143069
105,5.40058372292
105.5,6.75232299635
106,8.02406389162
106.5,9.25045326529
107,10.266522666
107.5,11.1984003884
108,12.0500578366
108.5,12.7603409351
109,13.392660969
109.5,14.0697668086
110,14.6403420819
110.5,15.1952288373
111,15.7150789175
111.5,16.146047002
112,16.5753089315
112.5,17.0450330283
113,17.4590258547
113.5,17.8343396197
114,18.1698702601
114.5,18.5224163467
115,18.8148073555
115.5,19.105153366
116,19.3609840337
116.5,19.5942845349
117,19.8272661045
117.5,20.1026158809
118,20.3231894314
118.5,20.5361718195
119,20.7269301678
119.5,20.9307029129
120,21.1006120111
120.5,21.2820981344
121,21.4473628484
121.5,21.6052106349
122,21.7556592718
122.5,21.9001843235
123,22.032963196
123.5,22.1904663889
124,22.3099959783
124.5,22.4236515417
125,22.5445479621
125.5,22.6464741604
126,22.7352705664
126.5,22.8254995265
127,22.9098867802
127.5,23.0175254631
128,23.0945994794
128.5,23.1542124692
129,23.2181776365
129.5,23.2705054369
130,23.3126536857
130.5,23.3722355788
131,23.4230918093
131.5,23.4841117373
132,23.5247872144
132.5,23.5814365155
133,23.6177466729
133.5,23.665671987
134,23.6990717743
134.5,23.7411814452
135,23.7731244431
135.5,23.8152281873
136,23.8529735872
136.5,23.8718453164
137,23.9037806375
137.5,23.934262675
138,23.9574860013
138.5,23.974902889
139,23.9981246062
139.5,24.0242479589
140,24.0416629006
140.5,24.0590773466
141,24.0692355465
141.5,24.0881003353
142,24.1011602416
142.5,24.1185730316
143,24.1359853479
143.5,24.1417893489
144,24.1562991247
144.5,24.1650048357
145,24.169357648
145.5,24.1838668154
146,24.1954739216
146.5,24.2041791194
147,24.2085316761
147.5,24.2143350415
148,24.2230399966
148.5,24.2302940411
149,24.2302940411
149.5,24.2360972215
150,24.2448019003
150.5,24.2477034355
151,24.2506049586
151.5,24.2506049586
152,24.2520557157
152.5,24.2520557157
153,24.2535064696
153.5,24.2520557157
154,24.2535064696
154.5,24.2564079685
155,24.2607601943
155.5,24.2607601943
156,24.2593094554
156.5,24.2622109302
157,24.2651123929
157.5,24.2665631198
158,24.263661663
158.5,24.2651123929
159,24.2622109302
159.5,24.263661663
160,24.2607601943
160.5,24.2622109302
161,24.2622109302
161.5,24.2578587135
162,24.2578587135
162.5,24.2535064696
163,24.2520557157
163.5,24.2535064696
164,24.2520557157
164.5,24.2520557157
165,24.2506049586
165.5,24.2506049586
166,24.2506049586
166.5,24.2477034355
167,24.2433511281
167.5,24.2375480089
168,24.234646431
168.5,24.2331956374
169,24.2317448408
169.5,24.2302940411
170,24.2288432384
170.5,24.2244908117
171,24.2201383573
171.5,24.2157858751
172,24.2128842048
172.5,24.207080827
173,24.2056299747
173.5,24.2027282609
174,24.1954739216
174.5,24.1954739216
175,24.1853177147
175.5,24.1780631865
176,24.175161353
176.5,24.170808579
177,24.1635538919
177.5,24.1592010412
178,24.1562991247
178.5,24.1490442772
179,24.143240341
179.5,24.1388873549
180,24.1359853479
184,24.0939047715
184.5,24.0895514493
185,24.0881003353
185.5,24.0851980971
186,24.0779424428
186.5,24.0721378588
187,24.0692355465
187.5,24.0663332206
188,24.0634308812
188.5,24.0590773466
189,24.053272586
189.5,24.0489189797
190,24.0445653425
190.5,24.0431141232
191,24.0373092118
191.5,24.0271504838
192,24.0271504838
192.5,24.0242479589
193,24.0198941454
193.5,24.0155403006
194,24.0097351253
194.5,24.0024785772
195,23.9966732754
195.5,23.9908679171
196,23.9807084036
196.5,23.976354273
197,23.976354273
197.5,23.9734515014
198,23.9720001102
198.5,23.9720001102
199,23.963291688
199.5,23.9589374283
200,23.9560345706
200.5,23.9531316983
201,23.9516802568
201.5,23.9516802568
202,23.9516802568
202.5,23.9502288116
203,23.9502288116
203.5,23.9502288116
204,23.9487773628
204.5,23.9502288116
205,23.9487773628
205.5,23.9429715314
206,23.9429715314
206.5,23.9400685938
207,23.9357141602
207.5,23.9386171196
208,23.9270051942
208.5,23.9211991436
209,23.9182960962
209.5,23.915393034
210,23.9124899571
210.5,23.908135314
211,23.9066837589
211.5,23.9037806375
212,23.8979743501
212.5,23.8936195955
213,23.8834583705
213.5,23.8820067519
214,23.87620024
214.5,23.8689420152
215,23.8631353673
215.5,23.8602320206
216,23.8587803415
216.5,23.8573286586
217,23.8500701871
217.5,23.8413598951
218,23.8370046973
218.5,23.8326494649
219,23.8210353418
219.5,23.8094209704
220,23.8007100281
220.5,23.7919989445
221,23.7847396
221.5,23.7774801566
222,23.7673167693
222.5,23.7658648409
223,23.7615090317
223.5,23.7455374229
224,23.7339214014
224.5,23.720853067
225,23.7135927385
225.5,23.701976
226,23.6947154047
226.5,23.6758373726
227,23.6729329976
227.5,23.6700286059
228,23.6598631031
228.5,23.6467928682
229,23.633722291
229.5,23.6206513692
230,23.6075801008
230.5,23.5988657282
231,23.5886987634
231.5,23.5785315859
232,23.5596491166
232.5,23.5422184849
233,23.5320503218
233.5,23.516071338
234,23.510260664
234.5,23.4942809387
235,23.4826589761
235.5,23.4695839195
236,23.4565084919
236.5,23.4332623642
237,23.41873293
237.5,23.4027500113
238,23.3954848599
238.5,23.3780480133
239,23.353344638
239.5,23.3417190396
240,23.3257333359
240.5,23.305387042
241,23.3010269969
241.5,23.2850397854
242,23.2675985076
242.5,23.2428887999
243,23.2327137921
243.5,23.2152703445
244,23.2021872777
244.5,23.1789274672
245,23.1600278979
245.5,23.1396735318
246,23.1222261143
246.5,23.1149561329
247,23.0960535607
247.5,23.0713334514
248,23.0509745468
248.5,23.030614579
249,23.0233429027
249.5,22.9986181763
250,22.9753463857
250.5,22.9375266753
251,22.9113415628
251.5,22.8836997152
252,22.8647856746
252.5,22.8516907647
253,22.8342301501
253.5,22.8036720395
254,22.7862090904
254.5,22.770200633
255,22.7498251831
255.5,22.7338150714
256,22.7105263245
256.5,22.6857803149
257,22.6653999108
257.5,22.6552092529
258,22.6260914022
258.5,22.6042513647
259,22.5867783092
259.5,22.5693043366
260,22.5532857183
260.5,22.5314408918
261,22.4993991719
261.5,22.489203416
262,22.4673542827
262.5,22.4440469
263,22.4178240555
263.5,22.3974270064
264,22.3770286328
264.5,22.3580860928
265,22.3362278795
265.5,22.3129107446
266,22.2910493194
266.5,22.2793892514
267,22.253152458
267.5,22.2312867183
268,22.2108772535
268.5,22.1904663889
269,22.1715121826
269.5,22.1481822521
270,22.1219338547
270.5,22.105892
271,22.0854738056
271.5,22.056302438
272,22.0387981862
272.5,22.0212928548
273,22.0037864383
273.5,21.9819018839
274,21.9498014347
274.5,21.9308312416
275,21.9118597433
275.5,21.8914274317
276,21.8666147102
276.5,21.8388801573
277,21.8213621267
277.5,21.809682804
278,21.7863226255
278.5,21.7600399687
279,21.7439770575
279.5,21.7220715049
280,21.6957824177
280.5,21.6738728128
281,21.6519613493
281.5,21.6329699031
282,21.6168991164
282.5,21.5920604502
283,21.5672193472
283.5,21.5423757923
284,21.5336068906
284.5,21.5014516109
285,21.4809869894
285.5,21.4575967701
286,21.4459008246
286.5,21.422507254
287,21.3976491195
287.5,21.3786382344
288,21.3581632946
288.5,21.3376866053
289,21.3084311406
289.5,21.2864871727
290,21.2703936321
290.5,21.2528357848
291,21.2294232714
291.5,21.2045448953
292,21.1796638454
292.5,21.1664904372
293,21.1401413506
293.5,21.116717387
294,21.0976836379
294.5,21.0786482868
295,21.0654690246
295.5,21.0391081778
296,21.012744219
296.5,20.9995610668
297,20.9775874013
297.5,20.95121611
298,20.9307029129
298.5,20.9072568976
299,20.8896707257
299.5,20.8750144908
300,20.8559598965
300.5,20.823709807
301,20.8061167975
301.5,20.7929210857
302,20.7665271973
302.5,20.7489294384
303,20.7239967573
303.5,20.7019948654
304,20.6902595734
304.5,20.6711883095
305,20.6403771685
305.5,20.6286383788
306,20.6080938804
306.5,20.5890149977
307,20.5611272599
307.5,20.543511975
308,20.5302995028
308.5,20.5097450443
309,20.4906568754
309.5,20.4700983464
310,20.4421940874
310.5,20.4245683198
311,20.4172237856
311.5,20.386373748
312,20.3687429756
312.5,20.3452328017
313,20.3290679084
313.5,20.3187804565
314,20.2937943647
314.5,20.2673349683
315,20.2541039009
315.5,20.2335204192
316,20.2173461231
316.5,20.1923467718
317,20.1717565883
317.5,20.1526351161
318,20.1379249657
318.5,20.1188000411
319,20.1026158809
319.5,20.0746581022
320,20.0584700902
320.5,20.0437524833
321,20.0216738647
321.5,19.9598395488
322,19.9392234348
322.5,19.9215506078
323,19.896511133
323.5,19.8803072577
324,19.8596820197
324.5,19.8449482457
325,19.8198980252
325.5,19.7977919454
326,19.787474827
326.5,19.7683128589
327,19.7520972514
327.5,19.7358801411
328,19.7093397981
328.5,19.6916439843
329,19.6709965825
329.5,19.657721949
330,19.6355952848
330.5,19.6178918995
331,19.6001866821
331.5,19.5824796271
332,19.5706738999
332.5,19.5514878415
333,19.527871244
333.5,19.5072040075
334,19.4983458427
334.5,19.4791515467
335,19.4570015443
335.5,19.4363255526
336,19.4215554118
336.5,19.4008750021
337,19.3875790861
337.5,19.3728045879
338,19.3565511064
338.5,19.3329068019
339,19.3136932854
339.5,19.2929992712
340,19.2841296011
340.5,19.2634318159
341,19.2412526755
341.5,19.2249860318
342,19.2101967446
342.5,19.1968852195
343,19.1806140728
343.5,19.1673000824
344,19.145107623
344.5,19.1317906581
345,19.1184725733
345.5,19.0977533205
346,19.0799917922
346.5,19.0592674707
347,19.0429821516
347.5,19.028175843
348,19.0148489629
348.5,19.000039979
349,18.982267333
349.5,18.9630113303
350,18.9422714097
350.5,18.9274554697
351,18.9141199014
351.5,18.8963373379
352,18.8770705588
352.5,18.8607659973
353,18.8400122076
353.5,18.8266689854
354,18.8177728502
354.5,18.801461908
355,18.7881152788
355.5,18.7643850122
356,18.7510350871
356.5,18.7376839708
357,18.7228479969
357.5,18.7035590217
358,18.6827834785
358.5,18.6649735513
359,18.6501303057
359.5,18.6323164382
360,18.624893357
360.5,18.6085612574
361,18.5862872789
361.5,18.5699508705
362,18.5506418453
362.5,18.5387580939
363,18.529844642
363.5,18.512016093
364,18.4882412736
368,18.3678207563
368.5,18.351459497
369,18.3336086912
369.5,18.3112920063
370,18.2993883269
370.5,18.2845073081
371,18.2711130401
371.5,18.2577174892
372,18.2458092539
372.5,18.2339000012
373,18.2115674037
373.5,18.1907204027
374,18.1773171009
374.5,18.1624230174
375,18.1549753723
375.5,18.1356096086
376,18.1192210603
376.5,18.1013404084
377,18.0894186747
377.5,18.0745150431
378,18.0640815309
378.5,18.049175125
379,18.0342670824
379.5,18.0133930662
380,17.9984810807
380.5,17.9895330982
381,17.9716353492
381.5,17.9582104735
382,17.9358326937
382.5,17.9238963477
383,17.9074821296
383.5,17.8910658898
384,17.8776329136
384.5,17.8701695619
385,17.8582273255
385.5,17.844791022
386,17.8253806164
386.5,17.8059673534
387,17.7895385084
387.5,17.7790827186
388,17.7701199492
388.5,17.7521925692
389,17.7327684642
389.5,17.7193193113
390,17.7058687679
390.5,17.6894273227
391,17.6834480985
391.5,17.6714888216
392,17.6565381698
392.5,17.6385951013
393,17.6176583608
393.5,17.6071887113
394,17.5997098671
394.5,17.5862468472
