"Latest: Time (s)","Latest: Temperature (°C)"
0,1.92693751606
0.5,1.66700709439
1,1.44790966102
1.5,1.25866011214
2,1.09771384288
2.5,0.977086451875
3,0.875646759047
3.5,0.793534418271
4,0.707337824867
4.5,0.666135343282
5,0.611134843819
5.5,0.577705944528
6,0.552124388782
6.5,0.504855151787
7,0.48120016615
7.5,0.459504469444
8,0.437797310723
8.5,0.427926625474
9,0.410153406516
9.5,0.400276067101
10,0.386443792479
10.5,0.370629758624
11,0.35678746772
11.5,0.350853624067
12,0.337004641351
12.5,0.333046927764
13,0.3290888311
13.5,0.327109639073
14,0.340961971992
14.5,0.342940493749
15,0.337004641351
15.5,0.331067927324
16,0.3290888311
16.5,0.319191912617
17,0.313252611049
17.5,0.309292597031
18,0.307312446081
18.5,0.305332199148
19,0.307312446081
19.5,0.305332199148
20,0.303351856216
20.5,0.305332199148
21,0.309292597031
21.5,0.333046927764
22,0.368652575
22.5,0.431875184419
23,0.577705944528
23.5,0.951749574914
24,1.53068327907
24.5,2.11707629393
25,2.7256848931
25.5,3.28366912839
26,3.84228269096
26.5,4.3329330244
27,4.81506655472
27.5,5.2428645696
28,5.66882105459
28.5,6.04936202628
29,6.39245285696
29.5,6.74197564525
30,7.04640157229
30.5,7.36791926138
31,7.63331904103
31.5,7.89579907301
32,8.16045701946
32.5,8.39545494847
33,8.61116987272
33.5,8.83110489142
34,9.04527830862
34.5,9.24054098055
35,9.42696014664
35.5,9.60461875261
36,9.77523233418
36.5,9.94866499896
37,10.0922979349
37.5,10.2372457763
38,10.3916182118
38.5,10.5213417619
39,10.6863807512
39.5,10.8155456809
40,10.9428599424
40.5,11.0522612137
41,11.1775418264
41.5,11.284978267
42,11.3826532845
42.5,11.4881854135
43,11.5839906036
43.5,11.6637323155
44,11.7672673371
44.5,11.8420409091
45,11.9246816533
45.5,12.0135774635
46,12.0976144783
46.5,12.1688935808
47,12.236942486
47.5,12.3096721328
48,12.3839119957
48.5,12.4391507887
49,12.5101145222
49.5,12.573139372
50,12.6219488754
50.5,12.6880297596
51,12.7430551111
51.5,12.8074650681
52,12.8561308734
52.5,12.9157455537
53,12.9627786831
53.5,13.0097845243
54,13.0207486418
54.5,13.02857925
55,13.0332772536
55.5,13.02857925
56,13.02857925
56.5,13.0317112825
57,13.1146663899
57.5,13.2740805646
58,13.4768136222
58.5,13.7241128815
59,14.0032218834
59.5,14.238228123
60,14.4849433518
60.5,14.7018145883
61,14.9227850143
61.5,15.1554811132
62,15.3586380457
62.5,15.5598604809
63,15.7606870517
63.5,15.9550588561
64,16.1384745584
64.5,16.3321638469
65,16.5149493268
65.5,16.6823684487
66,16.8540590652
66.5,17.0495405206
67,17.2101977306
67.5,17.3586552304
68,17.5039419534
68.5,17.6326135232
69,17.7746014105
69.5,17.8806181368
70,18.0014636096
70.5,18.1266706432
71,18.2398547548
71.5,18.345509479
72,18.4481123635
72.5,18.5432146146
73,18.6367701072
73.5,18.7406509886
74,18.8237036652
74.5,18.9156016885
75,19.0030018887
75.5,19.0829521862
76,19.1613823961
76.5,19.2353377226
77,19.3107371588
77.5,19.3875790861
78,19.464385205
78.5,19.5337757031
79,19.5987111645
79.5,19.6695216737
80,19.7358801411
80.5,19.7904226367
81,19.8596820197
81.5,19.920077794
82,20.0260898009
82.5,20.0864303121
83,20.1393960328
83.5,20.1952880433
84,20.2555740647
84.5,20.3114319416
85,20.3540494494
85.5,20.4186927143
86,20.4627555005
86.5,20.5126815243
87,20.5581914856
87.5,20.6095614129
88,20.6506480601
88.5,20.7005279901
89,20.7401300069
89.5,20.7929210857
90,20.823709807
90.5,20.8750144908
91,20.9101877877
91.5,20.9497509454
92,20.996631371
92.5,21.0303205382
93,21.0683978163
93.5,21.0976836379
94,21.1342855855
94.5,21.1679541865
95,21.201617852
95.5,21.2455196265
